event,arg,line,offset,opcode,locals,localObjects
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 0}","{'p': 'a*', 'i': 0}"
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,10,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,12,MAKE_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,14,LOAD_GLOBAL,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,16,LOAD_GLOBAL,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,18,LOAD_DEREF,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,20,CALL_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,22,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,24,BINARY_ADD,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,26,CALL_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,28,GET_ITER,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,30,CALL_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
call,,4,-1,<0>,{'.0': <range_iterator object at 0x7fe5d837cb70>},{}
line,,4,0,BUILD_LIST,{'.0': <range_iterator object at 0x7fe5d837cb70>},{}
opcode,,4,0,BUILD_LIST,{'.0': <range_iterator object at 0x7fe5d837cb70>},{}
opcode,,4,2,LOAD_FAST,{'.0': <range_iterator object at 0x7fe5d837cb70>},{}
opcode,,4,4,FOR_ITER,{'.0': <range_iterator object at 0x7fe5d837cb70>},{}
opcode,,4,6,STORE_FAST,{'.0': <range_iterator object at 0x7fe5d837cb70>},{}
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 0}",{'_': 0}
opcode,,4,10,LIST_APPEND,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 0}",{'_': 0}
opcode,,4,12,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 0}",{'_': 0}
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 0}",{'_': 0}
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 0}",{'_': 0}
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 0}",{'_': 0}
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 1}",{'_': 1}
opcode,,4,10,LIST_APPEND,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 1}",{'_': 1}
opcode,,4,12,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 1}",{'_': 1}
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 1}",{'_': 1}
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 1}",{'_': 1}
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 1}",{'_': 1}
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 2}",{'_': 2}
opcode,,4,10,LIST_APPEND,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 2}",{'_': 2}
opcode,,4,12,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 2}",{'_': 2}
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 2}",{'_': 2}
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 2}",{'_': 2}
opcode,,4,14,RETURN_VALUE,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 2}",{'_': 2}
return,"[False, False, False]",4,14,RETURN_VALUE,"{'.0': <range_iterator object at 0x7fe5d837cb70>, '_': 2}",{'_': 2}
opcode,,4,32,LIST_APPEND,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,34,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 1}","{'p': 'a*', 'i': 1}"
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,10,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,12,MAKE_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,14,LOAD_GLOBAL,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,16,LOAD_GLOBAL,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,18,LOAD_DEREF,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,20,CALL_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,22,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,24,BINARY_ADD,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,26,CALL_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,28,GET_ITER,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,30,CALL_FUNCTION,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
call,,4,-1,<0>,{'.0': <range_iterator object at 0x7fe5d837c900>},{}
line,,4,0,BUILD_LIST,{'.0': <range_iterator object at 0x7fe5d837c900>},{}
opcode,,4,0,BUILD_LIST,{'.0': <range_iterator object at 0x7fe5d837c900>},{}
opcode,,4,2,LOAD_FAST,{'.0': <range_iterator object at 0x7fe5d837c900>},{}
opcode,,4,4,FOR_ITER,{'.0': <range_iterator object at 0x7fe5d837c900>},{}
opcode,,4,6,STORE_FAST,{'.0': <range_iterator object at 0x7fe5d837c900>},{}
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 0}",{'_': 0}
opcode,,4,10,LIST_APPEND,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 0}",{'_': 0}
opcode,,4,12,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 0}",{'_': 0}
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 0}",{'_': 0}
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 0}",{'_': 0}
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 0}",{'_': 0}
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 1}",{'_': 1}
opcode,,4,10,LIST_APPEND,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 1}",{'_': 1}
opcode,,4,12,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 1}",{'_': 1}
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 1}",{'_': 1}
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 1}",{'_': 1}
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 1}",{'_': 1}
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 2}",{'_': 2}
opcode,,4,10,LIST_APPEND,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 2}",{'_': 2}
opcode,,4,12,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 2}",{'_': 2}
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 2}",{'_': 2}
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 2}",{'_': 2}
opcode,,4,14,RETURN_VALUE,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 2}",{'_': 2}
return,"[False, False, False]",4,14,RETURN_VALUE,"{'.0': <range_iterator object at 0x7fe5d837c900>, '_': 2}",{'_': 2}
opcode,,4,32,LIST_APPEND,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,34,JUMP_ABSOLUTE,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
line,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,4,FOR_ITER,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,6,STORE_FAST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 2}","{'p': 'a*', 'i': 2}"
opcode,,4,8,LOAD_CONST,"{'.0': <range_iterator object at 0x7fe5d837c8d0>, 'p': 'a*', 'i': 3}","{'p': 'a*', 'i': 3}"
